
name;nanoseconds;edges amount;ribs amount
complete graph, floyd;1613581560;810;647
complete graph, ford;1514193420;810;647
complete graph, dijkstra;446800;860;100
complete graph, floyd;1598945360;860;100
complete graph, ford;1800805780;860;100
complete graph, dijkstra;486580;910;274
complete graph, floyd;1936357700;910;274
complete graph, ford;2167532360;910;274
complete graph, dijkstra;2215620;960;722
complete graph, floyd;2513761880;960;722
complete graph, ford;2527124380;960;722
complete graph, dijkstra;3432220;1010;1007
complete graph, floyd;4299372460;1010;1007
complete graph, ford;3001897040;1010;1007
